year,aktueller_rentenwert_eur,durchschnittsentgelt_eur,beitragsbemessungsgrenze_west_eur_yr,beitragssatz_pct,standardrente_45_ep_brutto_eur_mo,kvdr_contribution_retiree_pct,pv_contribution_retiree_pct
2020,34.19,40551,82800,18.6,1538.55,7.95,3.05
2021,34.19,41541,85200,18.6,1538.55,7.95,3.05
2022,36.02,42053,84600,18.6,1620.9,7.95,3.05
2023,37.6,43142,87600,18.6,1692.0,8.1,3.4
2024,39.32,45358,90600,18.6,1769.4,8.15,3.4
2025,40.79,47400,96600,18.6,1835.55,8.25,3.4
2026,42.15,51944,101400,18.6,1896.75,8.15,3.4
